Kind,Name,Cyclomatic,CountLineCode,Essential
File,"EnumSource.java",,63,
File,"EnumSourceTests.java",,79,
File,"EqualsContract.java",,25,
File,"ExceptionHandlingTests.java",,179,
File,"ExceptionThrowingRunner.java",,35,
File,"ExceptionUtils.java",,27,
File,"ExceptionUtilsTests.java",,37,
File,"ExcludeClassNameFilter.java",,31,
File,"ExcludeClassNamePatterns.java",,17,
File,"ExcludeEngines.java",,17,
File,"ExcludePackageNameFilter.java",,45,
File,"ExcludePackages.java",,17,
File,"ExcludeTags.java",,17,
File,"ExclusionReasonConsumingFilter.java",,25,
File,"Executable.java",,8,
File,"ExecutableInvoker.java",,124,
File,"ExecutableInvokerTests.java",,293,
File,"ExecutionCondition.java",,8,
File,"ExecutionConditionTests.java",,134,
File,"ExecutionEvent.java",,68,
File,"ExecutionEventConditions.java",,126,
File,"ExecutionEventRecorder.java",,138,
File,"ExecutionListenerAdapter.java",,41,
File,"ExecutionListenerAdapterTests.java",,44,
File,"ExecutionRequest.java",,26,
File,"ExecutionTracker.java",,14,
File,"ExpectToFail.java",,30,
File,"ExpectedExceptionAdapter.java",,22,
File,"ExpectedExceptionSupport.java",,33,
File,"ExpectedExceptionSupportTests.java",,103,
File,"ExtendWith.java",,19,
File,"Extension.java",,6,
File,"ExtensionComposabilityTests.java",,61,
File,"ExtensionConfigurationException.java",,11,
File,"ExtensionContext.java",,81,
File,"ExtensionContextException.java",,12,
File,"ExtensionContextExecutionTests.java",,72,
File,"ExtensionContextTests.java",,194,
File,"ExtensionRegistry.java",,105,
File,"ExtensionRegistryTests.java",,141,
File,"ExtensionStoreConcurrencyTests.java",,26,
File,"ExtensionValuesStore.java",,131,
File,"ExtensionValuesStoreTests.java",,256,
File,"Extensions.java",,17,
File,"ExternalResourceAdapter.java",,19,
File,"ExternalResourceSupport.java",,20,
File,"ExternalResourceSupportForDifferentDeclaredReturnTypesRulesTests.java",,55,
File,"ExternalResourceSupportForMixedMethodAndFieldRulesTests.java",,64,
File,"ExternalResourceSupportForMultipleFieldRulesTests.java",,49,
File,"ExternalResourceSupportForMultipleMethodRulesTests.java",,53,
File,"ExternalResourceSupportForTemporaryFolderFieldTests.java",,23,
File,"ExternalResourceSupportWithInheritanceTests.java",,4,
File,"ExternalResourceWithoutAdapterTests.java",,22,
File,"FailAfterAllHelper.java",,6,
File,"FailAssertionsTests.java",,110,
File,"Fast.java",,11,
File,"FilePosition.java",,59,
File,"FilePositionTests.java",,45,
File,"FileSelector.java",,30,
File,"FileSource.java",,69,
File,"FileSystemSource.java",,9,
File,"FileSystemSourceTests.java",,55,
File,"Filter.java",,44,
File,"FilterCompositionTests.java",,44,
File,"FilterResult.java",,44,
File,"FilterStub.java",,24,
File,"FirstJUnit5Tests.java",,9,
File,"FlatPrintingListener.java",,76,
File,"FlatPrintingListenerTests.java",,57,
File,"FullLogging.java",,57,
File,"FunctionUtils.java",,15,
File,"FunctionUtilsTests.java",,31,
File,"GenericBeforeAndAfterAdvice.java",,12,
File,"GenericSourceTests.java",,98,
File,"HamcrestAssertionDemo.java",,11,
File,"HierarchicalTestEngine.java",,13,
File,"HierarchicalTestExecutor.java",,68,
File,"HierarchicalTestExecutorTests.java",,375,
File,"HierarchyTraversalMode.java",,8,
File,"HtmlApiReportWriter.java",,42,
File,"IgnoreIOExceptionExtension.java",,14,
File,"IgnoreIOExceptionTests.java",,17,
File,"IgnoredJUnit4TestCase.java",,11,
File,"IncludeClassNameFilter.java",,31,
File,"IncludeClassNamePatterns.java",,17,
File,"IncludeEngines.java",,17,
File,"IncludePackageNameFilter.java",,45,
File,"IncludePackages.java",,17,
File,"IncludeTags.java",,17,
File,"IncrementingClock.java",,30,
File,"InvalidLifecycleMethodConfigurationTests.java",,80,
File,"IsInnerClass.java",,19,
File,"IsInnerClassTests.java",,27,
File,"IsNestedTestClass.java",,17,
File,"IsNestedTestClassTests.java",,31,
File,"IsPotentialJUnit4TestClass.java",,20,
File,"IsPotentialJUnit4TestClassTests.java",,37,
File,"IsPotentialJUnit4TestMethod.java",,10,
File,"IsPotentialTestContainer.java",,22,
File,"IsPotentialTestContainerTests.java",,36,
File,"IsScannableTestClass.java",,16,
File,"IsScannableTestClassTests.java",,62,
File,"IsTestClassWithTests.java",,26,
File,"IsTestClassWithTestsTests.java",,59,
File,"IsTestFactoryMethod.java",,10,
File,"IsTestFactoryMethodTests.java",,52,
File,"IsTestMethod.java",,10,
File,"IsTestMethodTests.java",,97,
File,"IsTestTemplateMethod.java",,10,
File,"IsTestTemplateMethodTests.java",,29,
File,"IsTestableMethod.java",,33,
File,"IterableFactory.java",,13,
File,"JOptSimpleCommandLineOptionsParser.java",,52,
File,"JOptSimpleCommandLineOptionsParserTests.java",,410,
File,"JUnit3SuiteWithSingleTestCaseWithSingleTestWhichFails.java",,10,
File,"JUnit4ClassDemo.java",,16,
File,"JUnit4ParameterizedTestCase.java",,30,
File,"JUnit4ParameterizedTests.java",,53,
File,"JUnit4SuiteDemo.java",,9,
File,"JUnit4SuiteOfSuiteWithIgnoredJUnit4TestCase.java",,8,
File,"JUnit4SuiteOfSuiteWithJUnit4TestCaseWithAssumptionFailureInBeforeClass.java",,8,
File,"JUnit4SuiteOfSuiteWithJUnit4TestCaseWithErrorInBeforeClass.java",,8,
File,"JUnit4SuiteWithExceptionThrowingRunner.java",,7,
File,"JUnit4SuiteWithIgnoredJUnit4TestCase.java",,8,
File,"JUnit4SuiteWithJUnit3SuiteWithSingleTestCase.java",,9,
File,"JUnit4SuiteWithJUnit4TestCaseWithAssumptionFailureInBeforeClass.java",,8,
