Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,BeforeEachMethodAdapter.java,0,0,,,,,1,,12
File,BeforeTestExecutionCallback.java,0,0,,,,,1,,8
File,BlacklistedExceptions.java,4,1,,,,,2,,16
File,BridgeMethodTests.java,17,1,,,,,6,,77
File,BrokenLifecycleMethodConfigDemo.java,5,1,,,,,5,,31
File,CachingJupiterConfiguration.java,12,1,,,,,7,,47
File,CachingJupiterConfigurationTests.java,7,1,,,,,6,,67
File,Calculator.java,1,1,,,,,1,,6
File,Calculator.java,1,1,,,,,1,,6
File,Calculator.java,1,1,,,,,1,,6
File,Calculator.java,4,1,,,,,4,,15
File,CalculatorTests.java,3,1,,,,,2,,26
File,CalculatorTests.java,3,1,,,,,2,,26
File,CalculatorTests.java,3,1,,,,,2,,26
File,Categories.java,0,0,,,,,0,,13
File,ChildWithBridgeMethods.java,3,1,,,,,3,,18
File,ChildWithoutBridgeMethods.java,3,1,,,,,3,,18
File,Class1WithTestCases.java,1,1,,,,,1,,7
File,Class2WithTestCases.java,1,1,,,,,1,,7
File,ClassExtensionContext.java,10,1,,,,,10,,58
File,ClassFileVisitor.java,11,1,,,,,7,,48
File,ClassFilter.java,7,1,,,,,6,,29
File,ClassLoaderUtils.java,11,3,,,,,3,,52
File,ClassLoaderUtilsTests.java,5,1,,,,,4,,47
File,ClassNameFilter.java,2,1,,,,,2,,14
File,ClassNameFilterTests.java,12,1,,,,,6,,109
File,ClassNamePatternParameterConverter.java,8,1,,,,,3,,33
File,ClassSelector.java,11,1,,,,,7,,52
File,ClassSelectorResolver.java,1,1,,,,,1,,14
File,ClassSelectorTests.java,2,1,,,,,2,,22
File,ClassSource.java,18,1,,,,,14,,80
File,ClassSourceTests.java,17,1,,,,,10,,95
File,ClassSupport.java,3,1,,,,,3,,16
File,ClassSupportTests.java,4,1,,,,,2,,23
File,ClassTestDescriptor.java,71,1,,,,,31,,309
File,ClassUtils.java,8,1,,,,,4,,24
File,ClassUtilsTests.java,2,1,,,,,2,,23
File,ClassWithStaticInnerTestCases.java,2,1,,,,,2,,15
File,ClassWithoutTestCases.java,0,0,,,,,0,,3
File,ClasspathResourceSelector.java,8,1,,,,,5,,38
File,ClasspathResourceSelectorTests.java,1,1,,,,,1,,12
File,ClasspathResourceSource.java,14,1,,,,,10,,69
File,ClasspathResourceSourceTests.java,14,1,,,,,9,,81
File,ClasspathRootSelector.java,7,1,,,,,5,,38
File,ClasspathRootSelectorResolver.java,2,1,,,,,1,,17
File,ClasspathRootSelectorTests.java,1,1,,,,,1,,13
File,ClasspathScanner.java,37,1,,,,,17,,170
File,ClasspathScannerTests.java,59,1,,,,,30,,271
File,ClasspathScanningSupport.java,3,1,,,,,3,,26
File,CloseablePath.java,10,1,,,,,5,,51
File,CollectionUtils.java,18,3,,,,,4,,74
File,CollectionUtilsTests.java,34,1,,,,,19,,171
File,Color.java,10,1,,,,,6,,45
File,CommandLineOptions.java,59,1,,,,,57,,222
File,CommandLineOptionsParser.java,0,0,,,,,2,,9
File,ComparableContract.java,3,1,,,,,4,,24
File,CompositeFilter.java,10,1,,,,,7,,53
File,CompositeLock.java,11,1,,,,,8,,54
File,CompositeLockTests.java,7,1,,,,,4,,66
File,CompositeTestSource.java,8,1,,,,,6,,45
File,CompositeTestSourceTests.java,8,1,,,,,5,,48
File,ConditionEvaluationException.java,1,1,,,,,1,,9
File,ConditionEvaluationResult.java,6,1,,,,,6,,33
File,ConditionEvaluator.java,8,1,,,,,4,,45
File,ConditionalTestExecutionDemo.java,16,1,,,,,16,,111
File,ConfigurableRunner.java,3,1,,,,,3,,30
File,ConfigurationParameters.java,3,1,,,,,4,,28
File,ConsoleDetailsTests.java,29,1,,,,,19,,201
File,ConsoleLauncher.java,11,1,,,,,7,,87
File,ConsoleLauncherExecutionResult.java,9,1,,,,,7,,41
File,ConsoleLauncherExecutionResultTests.java,5,1,,,,,5,,45
File,ConsoleLauncherIntegrationTests.java,12,1,,,,,5,,48
File,ConsoleLauncherTests.java,5,1,,,,,5,,73
File,ConsoleLauncherWrapper.java,11,1,,,,,6,,57
File,ConsoleLauncherWrapperResult.java,21,1,,,,,20,,117
File,ConsoleTestExecutor.java,20,1,,,,,10,,99
File,ConsoleTestExecutorTests.java,27,1,,,,,12,,119
File,Constants.java,1,1,,,,,1,,36
File,ContainerForInnerTest.java,1,1,,,,,1,,11
File,ContainerForInnerTests.java,1,1,,,,,1,,11
