org.apache.commons.io.FilenameUtils.java: {'JaCoCo': '379', 'Clover': '371'}
org.apache.commons.io.HexDump.java: {'JaCoCo': '37', 'Clover': '31'}
org.apache.commons.io.IOCase.java: {'JaCoCo': '34', 'Clover': '28'}
org.apache.commons.io.IOExceptionList.java: {'JaCoCo': '9', 'Clover': '7'}
org.apache.commons.io.IOExceptionWithCause.java: {'JaCoCo': '2', 'Clover': '1'}
org.apache.commons.io.IOIndexedException.java: {'JaCoCo': '8', 'Clover': '7'}
org.apache.commons.io.IOUtils.java: {'JaCoCo': '460', 'Clover': '418'}
org.apache.commons.io.LineIterator.java: {'JaCoCo': '34', 'Clover': '31'}
org.apache.commons.io.StandardLineSeparator.java: {'JaCoCo': '9', 'Clover': '3'}
org.apache.commons.io.StreamIterator.java: {'JaCoCo': '5', 'Clover': '3'}
org.apache.commons.io.TaggedIOException.java: {'JaCoCo': '9', 'Clover': '6'}
org.apache.commons.io.ThreadMonitor.java: {'JaCoCo': '27', 'Clover': '21'}
org.apache.commons.io.function.IOConsumer.java: {'JaCoCo': '2', 'Clover': '1'}
org.apache.commons.io.function.IOFunction.java: {'JaCoCo': '17', 'Clover': '17'}
org.apache.commons.io.function.IOSupplier.java: {'JaCoCo': 0, 'Clover': '0'}
org.apache.commons.io.filefilter.AbstractFileFilter.java: {'JaCoCo': '10', 'Clover': '9'}
org.apache.commons.io.filefilter.AgeFileFilter.java: {'JaCoCo': '21', 'Clover': '15'}
org.apache.commons.io.filefilter.AndFileFilter.java: {'JaCoCo': '56', 'Clover': '43'}
org.apache.commons.io.filefilter.CanExecuteFileFilter.java: {'JaCoCo': '0', 'Clover': '0'}
org.apache.commons.io.filefilter.CanReadFileFilter.java: {'JaCoCo': '7', 'Clover': '2'}
org.apache.commons.io.filefilter.CanWriteFileFilter.java: {'JaCoCo': '6', 'Clover': '2'}
org.apache.commons.io.filefilter.ConditionalFileFilter.java: {'JaCoCo': 0, 'Clover': '0'}
org.apache.commons.io.filefilter.DelegateFileFilter.java: {'JaCoCo': '19', 'Clover': '15'}
org.apache.commons.io.filefilter.DirectoryFileFilter.java: {'JaCoCo': '6', 'Clover': '2'}
org.apache.commons.io.filefilter.EmptyFileFilter.java: {'JaCoCo': '12', 'Clover': '10'}
org.apache.commons.io.filefilter.FalseFileFilter.java: {'JaCoCo': '12', 'Clover': '7'}
org.apache.commons.io.filefilter.FileEqualsFileFilter.java: {'JaCoCo': '6', 'Clover': '4'}
org.apache.commons.io.filefilter.FileFileFilter.java: {'JaCoCo': '6', 'Clover': '2'}
org.apache.commons.io.filefilter.FileFilterUtils.java: {'JaCoCo': '70', 'Clover': '64'}
org.apache.commons.io.filefilter.HiddenFileFilter.java: {'JaCoCo': '6', 'Clover': '3'}
org.apache.commons.io.filefilter.IOFileFilter.java: {'JaCoCo': '4', 'Clover': '3'}
org.apache.commons.io.filefilter.MagicNumberFileFilter.java: {'JaCoCo': '51', 'Clover': '47'}
org.apache.commons.io.filefilter.NameFileFilter.java: {'JaCoCo': '43', 'Clover': '34'}
org.apache.commons.io.filefilter.NotFileFilter.java: {'JaCoCo': '11', 'Clover': '8'}
org.apache.commons.io.filefilter.OrFileFilter.java: {'JaCoCo': '45', 'Clover': '34'}
org.apache.commons.io.filefilter.PathEqualsFileFilter.java: {'JaCoCo': '5', 'Clover': '3'}
org.apache.commons.io.filefilter.PathVisitorFileFilter.java: {'JaCoCo': '8', 'Clover': '7'}
org.apache.commons.io.filefilter.PrefixFileFilter.java: {'JaCoCo': '43', 'Clover': '34'}
org.apache.commons.io.filefilter.RegexFileFilter.java: {'JaCoCo': '20', 'Clover': '14'}
org.apache.commons.io.filefilter.SizeFileFilter.java: {'JaCoCo': '13', 'Clover': '11'}
org.apache.commons.io.filefilter.SuffixFileFilter.java: {'JaCoCo': '42', 'Clover': '33'}
org.apache.commons.io.filefilter.SymbolicLinkFileFilter.java: {'JaCoCo': '4', 'Clover': '1'}
org.apache.commons.io.filefilter.TrueFileFilter.java: {'JaCoCo': '11', 'Clover': '6'}
org.apache.commons.io.filefilter.WildcardFileFilter.java: {'JaCoCo': '41', 'Clover': '32'}
org.apache.commons.io.filefilter.WildcardFilter.java: {'JaCoCo': '31', 'Clover': '25'}
