Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
File,CustomAnnotationParameterResolver.java,2,1,,,,,2,,15
File,CustomContextClassLoaderExecutor.java,4,1,,,,,3,,26
File,CustomContextClassLoaderExecutorTests.java,4,1,,,,,2,,33
File,CustomType.java,1,1,,,,,1,,9
File,CustomTypeParameterResolver.java,2,1,,,,,2,,14
File,DefaultArgumentConverter.java,21,1,,,,,13,,134
File,DefaultArgumentConverterTests.java,6,1,,,,,6,,68
File,DefaultDiscoveryRequest.java,6,1,,,,,6,,50
File,DefaultLauncher.java,27,1,,,,,12,,133
File,DefaultLauncherTests.java,42,1,,,,,31,,376
File,DefaultMethodTests.java,50,1,,,,,15,,164
Class,DefaultPackageTestCase,1,1,1,0,0,1,1,,5
Class,DefaultPackageTestCase,1,1,1,0,0,1,1,,5
File,DefaultPackageTestCase.java,1,1,,,,,1,,8
File,DefaultPackageTestCase.java,1,1,,,,,1,,8
Method,DefaultPackageTestCase.test,1,,,,,,,1,2
Method,DefaultPackageTestCase.test,1,,,,,,,1,2
File,DefaultParameterContext.java,5,1,,,,,5,,37
File,DefensiveAllDefaultPossibilitiesBuilder.java,10,1,,,,,7,,55
File,DemoClassTestDescriptor.java,6,1,,,,,3,,40
File,DemoEngineExecutionContext.java,0,0,,,,,0,,3
File,DemoHierarchicalContainerDescriptor.java,9,1,,,,,7,,43
File,DemoHierarchicalEngineDescriptor.java,7,1,,,,,5,,30
File,DemoHierarchicalTestDescriptor.java,9,1,,,,,6,,39
File,DemoHierarchicalTestEngine.java,12,1,,,,,12,,65
File,DemoMethodTestDescriptor.java,9,1,,,,,5,,54
File,Details.java,3,1,,,,,3,,14
File,DetailsConverter.java,1,1,,,,,1,,7
File,DirectorySelector.java,5,1,,,,,5,,30
File,DirectorySource.java,10,1,,,,,7,,53
File,Disabled.java,0,0,,,,,1,,15
File,DisabledClassDemo.java,1,1,,,,,1,,9
File,DisabledCondition.java,3,1,,,,,1,,24
File,DisabledTests.java,5,1,,,,,5,,46
File,DisabledTestsDemo.java,2,1,,,,,2,,12
File,DiscoveryFilter.java,0,0,,,,,0,,6
File,DiscoveryFilterApplier.java,16,1,,,,,5,,59
File,DiscoveryFilterApplierTests.java,6,1,,,,,6,,116
File,DiscoveryFilterStub.java,2,1,,,,,2,,13
File,DiscoveryRequestCreator.java,15,1,,,,,6,,91
File,DiscoveryRequestCreatorTests.java,20,1,,,,,20,,210
File,DiscoverySelector.java,0,0,,,,,0,,6
File,DiscoverySelectorResolver.java,8,1,,,,,3,,55
File,DiscoverySelectorResolver.java,0,0,,,,,1,,6
File,DiscoverySelectorResolverTests.java,53,1,,,,,50,,494
File,DiscoverySelectors.java,26,1,,,,,20,,144
File,DiscoverySelectorsTests.java,112,1,,,,,60,,413
File,DiscoveryTests.java,18,1,,,,,18,,126
File,DisplayName.java,0,0,,,,,1,,15
File,DisplayNameDemo.java,3,1,,,,,3,,18
File,DocumentationTestSuite.java,0,0,,,,,0,,12
File,DoubleParameterResolver.java,2,1,,,,,2,,14
File,DynamicContainer.java,4,1,,,,,4,,24
File,DynamicContainerTestDescriptor.java,7,1,,,,,5,,42
File,DynamicNode.java,3,1,,,,,3,,19
File,DynamicNodeGenerationTests.java,57,1,,,,,18,,260
File,DynamicTest.java,6,1,,,,,4,,34
File,DynamicTestTestDescriptor.java,4,1,,,,,4,,27
File,DynamicTestTests.java,4,1,,,,,2,,33
File,DynamicTestsDemo.java,27,1,,,,,10,,91
File,ElementResolver.java,0,0,,,,,2,,10
File,EnableRuleMigrationSupport.java,0,0,,,,,0,,16
File,EnableRuleMigrationSupportWithBothRuleTypesTests.java,8,1,,,,,6,,62
File,EnclosedJUnit4TestCase.java,1,1,,,,,1,,14
File,EngineDescriptor.java,2,1,,,,,2,,14
File,EngineDiscoveryRequest.java,0,0,,,,,3,,10
File,EngineExecutionContext.java,0,0,,,,,0,,6
File,EngineExecutionListener.java,0,0,,,,,5,,13
File,EngineFilter.java,17,1,,,,,11,,69
File,EnigmaException.java,1,1,,,,,1,,7
